,State,Date,Expected Doses Administered
0,India,14/06/2021,253813222.7592962
1,India,15/06/2021,256989744.89587522
2,India,16/06/2021,260185928.409737
3,India,17/06/2021,263401773.30088156
4,India,18/06/2021,266637279.5693089
5,India,19/06/2021,269892447.21501905
6,India,20/06/2021,273167276.23801196
7,Andaman and Nicobar Islands,14/06/2021,132518.95184110285
8,Andaman and Nicobar Islands,15/06/2021,133982.58814075822
9,Andaman and Nicobar Islands,16/06/2021,135453.9088989661
10,Andaman and Nicobar Islands,17/06/2021,136932.91411572648
11,Andaman and Nicobar Islands,18/06/2021,138419.60379103938
12,Andaman and Nicobar Islands,19/06/2021,139913.9779249048
13,Andaman and Nicobar Islands,20/06/2021,141416.0365173227
14,Andhra Pradesh,14/06/2021,12125600.468347542
15,Andhra Pradesh,15/06/2021,12293726.072693633
16,Andhra Pradesh,16/06/2021,12463007.813038273
17,Andhra Pradesh,17/06/2021,12633445.689381462
18,Andhra Pradesh,18/06/2021,12805039.7017232
19,Andhra Pradesh,19/06/2021,12977789.850063486
20,Andhra Pradesh,20/06/2021,13151696.134402322
21,Arunachal Pradesh,14/06/2021,420032.2757119536
22,Arunachal Pradesh,15/06/2021,425451.23680029024
23,Arunachal Pradesh,16/06/2021,430904.88326500996
24,Arunachal Pradesh,17/06/2021,436393.2151061128
25,Arunachal Pradesh,18/06/2021,441916.23232359876
26,Arunachal Pradesh,19/06/2021,447473.9349174678
27,Arunachal Pradesh,20/06/2021,453066.32288771996
28,Assam,14/06/2021,4878134.489570107
29,Assam,15/06/2021,4944771.852871395
30,Assam,16/06/2021,5011861.089903863
31,Assam,17/06/2021,5079402.200667513
32,Assam,18/06/2021,5147395.185162343
33,Assam,19/06/2021,5215840.043388355
34,Assam,20/06/2021,5284736.775345547
35,Bihar,14/06/2021,12185342.785869762
36,Bihar,15/06/2021,12339624.063918011
37,Bihar,16/06/2021,12494872.834144749
38,Bihar,17/06/2021,12651089.096549973
39,Bihar,18/06/2021,12808272.851133684
40,Bihar,19/06/2021,12966424.097895883
41,Bihar,20/06/2021,13125542.836836569
42,Chandigarh,14/06/2021,410943.11944494833
43,Chandigarh,15/06/2021,416605.95699256303
44,Chandigarh,16/06/2021,422307.5126428442
45,Chandigarh,17/06/2021,428047.78639579174
46,Chandigarh,18/06/2021,433826.77825140575
47,Chandigarh,19/06/2021,439644.4882096862
48,Chandigarh,20/06/2021,445500.91627063305
49,Chhattisgarh,14/06/2021,6381438.861146381
50,Chhattisgarh,15/06/2021,6432683.983170687
51,Chhattisgarh,16/06/2021,6484044.366072918
52,Chhattisgarh,17/06/2021,6535520.009853074
53,Chhattisgarh,18/06/2021,6587110.914511155
54,Chhattisgarh,19/06/2021,6638817.080047161
55,Chhattisgarh,20/06/2021,6690638.506461092
56,Dadra and Nagar Haveli and Daman and Diu,14/06/2021,271736.5083439144
57,Dadra and Nagar Haveli and Daman and Diu,15/06/2021,276543.6936223472
58,Dadra and Nagar Haveli and Daman and Diu,16/06/2021,281390.5558352984
